Campus,Code,Name,Credits,Areas of Knowledge,Prerequisites
Bothell,B BUS 522,Organizational Behavior,4,,B BUS 501
Bothell,B BUS 524,Creativity and Innovation Management,4,,
Bothell,B BUS 525,Technology and Innovation Management,4,,
Bothell,B BUS 526,Entrepreneurship Practicum,4,,
Bothell,B BUS 527,Entrepreneurial Marketing,4,,
Bothell,B BUS 528,New Product Marketing,4,,
Bothell,B BUS 531,Leadership and Social Responsibility,4,,B BUS 501
Bothell,B BUS 533,Advanced Leadership Models,4,,
Bothell,B BUS 534,Human Resource Management,4,,
Bothell,B BUS 535,Advanced Marketing Simulation Laboratory,4,,B BUS 506
Bothell,B BUS 539,Market Intelligence,4,,B BUS 502
Bothell,B BUS 541,Advanced Corporate Finance,4,,B BUS 505
Bothell,B BUS 542,Customer Satisfaction Models,5,,
Bothell,B BUS 543,Investments,4,,B BUS 505
Bothell,B BUS 544,Negotiations,4,,
Bothell,B BUS 546,Seminar on Global Economic Issues,4,,
Bothell,B BUS 549,Management Consulting,4,,
Bothell,B BUS 556,Entrepreneurial Finance,4,,
Bothell,B BUS 558,Corporate Financial Reporting,4,,
Bothell,B BUS 560,Sustainable Business,4,,
Bothell,B BUS 590,Special Topics for MBA Study,,,
Bothell,B BUS 591,Global Business Study Tour,,,
Bothell,B BUS 600,Independent Study or Research,,,
Bothell,B BUS 601,Internship,,,
Bothell,B CHEM 110,Chemistry and Life,5,NW,
Bothell,B CHEM 115,Introductory Chemistry I,5,"NW,QSR",
Bothell,B CHEM 139,Preparation for General Chemistry,5,NW,
Bothell,B CHEM 143,General Chemistry I,4,"NW,QSR","B CHEM 139,B MATH 122"
Bothell,B CHEM 144,General Chemistry Lab I,2,"NW,QSR",B CHEM 143
Bothell,B CHEM 153,General Chemistry II,4,"NW,QSR",B CHEM 143
Bothell,B CHEM 154,General Chemistry Lab II,2,"NW,QSR","B CHEM 144,B CHEM 153"
Bothell,B CHEM 157,General Learning Strategies for General Chemistry,1,,
Bothell,B CHEM 163,General Chemistry III,4,"NW,QSR",B CHEM 153
Bothell,B CHEM 164,General Chemistry Lab III,2,"NW,QSR","B CHEM 154,B CHEM 163"
Bothell,B CHEM 225,Scientific Writing,5,,"B BIO 225,B WRIT 134"
Bothell,B CHEM 237,Organic Chemistry I,4,NW,"B CHEM 162,B CHEM 163,B CHEM 164"
Bothell,B CHEM 238,Organic Chemistry II,4,NW,B CHEM 237
Bothell,B CHEM 239,Organic Chemistry III,4,NW,B CHEM 238
Bothell,B CHEM 241,Organic Chemistry Laboratory I,3,NW,"B CHEM 237,B CHEM 238,B CUSP 238"
Bothell,B CHEM 242,Organic Chemistry Laboratory II,3,NW,"B CHEM 238,B CHEM 239,B CHEM 241"
Bothell,B CHEM 293,Special Topics in Chemistry,,,
Bothell,B CHEM 312,Inorganic Chemistry I,3,"NW,QSR",B CHEM 238
Bothell,B CHEM 313,Inorganic Chemistry II,3,"NW,QSR",B CHEM 312
Bothell,B CHEM 315,Quantitative Environmental Analysis,5,"NW,QSR",B CHEM 164
Bothell,B CHEM 350,Atmospheric Chemistry and Air Pollution,5,"NW,QSR","B CHEM 163,B CHEM 164"
Bothell,B CHEM 364,Biochemistry I,5,NW,"B BIO 200,B BIO 364,B CHEM 237,B CHEM 239"
Bothell,B CHEM 365,Biochemistry II,5,,"B BIO 364,B BIO 365,B CHEM 364"
Bothell,B CHEM 366,Biochemistry Laboratory,3,NW,"B BIO 364,B BIO 366,B CHEM 364"
Bothell,B CHEM 375,Molecular Biology,5,,"B BIO 220,B BIO 360,B BIO 364,B BIO 375,B CHEM 364,BIOC 405,GENOME 361"
Bothell,B CHEM 401,Physical Chemistry I,4,"NW,QSR","B CHEM 237,B PHYS 116,B PHYS 117,B PHYS 118,B PHYS 119,B PHYS 123,MATH 126,MATH 307,MATH 308,MATH 324,ST MATH 308,STMATH 126,STMATH 307,STMATH 324"
Bothell,B CHEM 402,Physical Chemistry II,4,"NW,QSR",B CHEM 401
Bothell,B CHEM 403,Physical Chemistry III,4,"NW,QSR",B CHEM 402
Bothell,B CHEM 404,Physical Chemistry Laboratory,4,,B CHEM 402
Bothell,B CHEM 426,Instrumental Analysis,5,"NW,QSR",B CHEM 315
Bothell,B CHEM 493,Advanced Topics in Chemistry,,,
Bothell,B CHEM 494,Special Topics in Biochemistry,3,"NW,QSR","B CHEM 237,B CHEM 364"
Bothell,B CHEM 495,Investigative Chemistry I,3,,"B CHEM 239,B CHEM 242,B CHEM 315,B CHEM 496"
Bothell,B CHEM 496,Investigative Chemistry II,3,,B CHEM 495
Bothell,B CHEM 497,Apprenticeship in Chemistry Education,,,
Bothell,B CHEM 498,Independent Study in Chemistry,,,
Bothell,B CHEM 499,Undergraduate Research in Chemistry,,,
Bothell,B CHIN 101,First-Year Chinese,5,,
Bothell,B CHIN 102,First-Year Chinese,5,,B CHIN 101
Bothell,B CHIN 103,First-Year Chinese,5,,B CHIN 102
Bothell,B CHIN 296,Study Abroad: Chinese,,VLPA,
Bothell,B CLIM 200,Introduction to Climate Science,5,"I&S,NW",
Bothell,B CLIM 300,Fundamentals of Weather and Climate,5,NW,"B CUSP 124,B CUSP 125,B PHYS 121,B PHYS 122"
Bothell,B CLIM 320,Impacts of Climate Change,5,"I&S,NW",
Bothell,B CORE 104,"Discovery Core I: Visual, Literary, and Performing Arts",5,VLPA,
Bothell,B CORE 107,Discovery Core I: Individuals and Society,5,I&S,
Bothell,B CORE 110,Discovery Core I: Natural World,5,NW,
Bothell,B CORE 115,Discovery Core II: Individuals and Society,5,I&S,
Bothell,B CORE 116,Discovery Core II: Natural World,5,"NW,QSR",
Bothell,B CORE 117,"Discovery Core II: Visual, Literary, and Performing Arts",5,VLPA,
Bothell,B CORE 118,Discovery Core III: Individuals and Society Portfolio and Experiential Learning,5,I&S,"B CORE 115,B CORE 116,B CORE 117"
Bothell,B CORE 119,Discovery Core III: Natural World Portfolio and Experiential Learning,5,NW,"B CORE 115,B CORE 116,B CORE 117"
Bothell,B CORE 120,"Discovery Core III: Visual, Literary, and Performing Arts Portfolio and Experiential Learning",5,VLPA,"B CORE 115,B CORE 116,B CORE 117"
Bothell,B CORE 207,Discovery Core Acceleratred-Individuals & Society,5,I&S,
Bothell,B CORE 211,Discovery Core Special Topics,2,,
Bothell,B CUSP 100,General Learning Strategies,2,,
Bothell,B CUSP 103,Intercultural Literacy for Multilingual Students,3,,
Bothell,B CUSP 131,Special Topics in First-Year Learning,,,
Bothell,B CUSP 133,First-Year Interest Group,,,
Bothell,B CUSP 199,Field-Based Learning,,,
Bothell,B CUSP 203,Undergraduate Peer Instructor Practicum,,,
Bothell,B CUSP 270,Negotiation and Persuasion: Theory and Practice,5,I&S,
Bothell,B CUSP 295,Study Abroad Pre-Departure Seminar,2,I&S,
Bothell,B CUSP 296,Study Abroad: CUSP,,"I&S,VLPA",
Bothell,B EDUC 205,Education and Equity in the U.S.,5,"DIV,I&S",
Bothell,B EDUC 210,Teaching and Learning in a Multicultural Society,5,"DIV,I&S",
Bothell,B EDUC 220,Education and Society,5,I&S,
Bothell,B EDUC 230,"Culture, Knowledge, and Education",5,"DIV,I&S",
Bothell,B EDUC 250,Topics in Education and Popular Culture,,VLPA,
Bothell,B EDUC 255,Critical Diversity Studies,5,"DIV,I&S",
Bothell,B EDUC 300,Research and Educational Knowledge,5,,
Bothell,B EDUC 315,History of Education in the United States,5,I&S,
Bothell,B EDUC 328,"Diversity, Leadership, and Engagement",,DIV,
Bothell,B EDUC 330,"Race, Culture, and Identity in the Classroom",5,"DIV,I&S","B EDUC 210,B EDUC 220,B EDUC 230"
Bothell,B EDUC 391,Special Topics in Education,,,
Bothell,B EDUC 392,Independent Study,,,
Bothell,B EDUC 401,Study Abroad: Education,,I&S,
Bothell,B EDUC 402,Human Growth and Learning,5,I&S,
Bothell,B EDUC 403,Introduction to Special Education,2,,
Bothell,B EDUC 405,Context of Learning and Schooling,3,I&S,
Bothell,B EDUC 406,Introduction to Field Placements,2,,
Bothell,B EDUC 408,"Knowing, Teaching, and Assessing in Multicultural Education and Social Studies",5,I&S,
Bothell,B EDUC 409,"Knowing, Teaching, and Assessing In: Reading, Writing and Communicating",3,,
Bothell,B EDUC 410,"Knowing, Teaching, and Assessing in Reading, Writing and Communicating",4,,
Bothell,B EDUC 413,"Knowing, Teaching, and Assessing in the Arts",3,,
Bothell,B EDUC 416,Instructional Design and Assessment,2,,
Bothell,B EDUC 417,"Families, Communities and Schools",2,,
Bothell,B EDUC 418,"Knowing, Teaching, and Assessing in Intermediate Level Mathematics",4,,
Bothell,B EDUC 419,"Knowing, Teaching, and Assessing in Mathematics",3,,
Bothell,B EDUC 421,"Knowing, Teaching, and Assessing In: Earth, Physical, and Life Sciences",4,,
Bothell,B EDUC 423,"Knowing, Teaching, Assessing in Health, Fitness and Issues of Abuse",3,,
Bothell,B EDUC 425,Reflections on Professional Practice Seminar,,,
Bothell,B EDUC 427,Reflections on Professional Practice Seminar: Becoming a Professional Educator,3,,
Bothell,B EDUC 435,Student Teaching,,,
Bothell,B EDUC 437,Current Issues in Technology,,,
Bothell,B EDUC 441,"Second Language Acquisition, Bilingual Education, and the Structure of English",5,"DIV,I&S",
Bothell,B EDUC 442,"Curriculum, Instruction, and Assessment in ESOL",5,,B EDUC 441
Bothell,B EDUC 443,Practicum in ESOL,3,,"B EDUC 442,B EDUC 542"
Bothell,B EDUC 444,"Leadership, Advocacy, and Program Assessment in ESOL",5,"DIV,I&S",
Bothell,B EDUC 452,Service Learning Practicum in Education,2,I&S,
Bothell,B EDUC 456,Adolescents in School and Society,5,I&S,
Bothell,B EDUC 460,Moral Dimensions of Education,5,I&S,
Bothell,B EDUC 461,Educational Implications of Gender Inequality,5,DIV,
Bothell,B EDUC 465,Fostering Algebraic Reasoning,5,"NW,QSR","MATH 125,STMATH 125,STMATH 465"
Bothell,B EDUC 466,Fostering Geometric Thinking,5,"NW,QSR","STMATH 125,STMATH 466"
Bothell,B EDUC 467,"Fostering Statistical Thinking, Data, and Graphical Analysis",5,"NW,QSR","STMATH 125,STMATH 467"
Bothell,B EDUC 470,Disability Culture in Schools and Society,5,"DIV,I&S",
Bothell,B EDUC 473,History of U.S. Public Schooling,3,,
Bothell,B EDUC 474,Global Englishes,5,"DIV,I&S",
Bothell,B EDUC 475,Global Perspectives on Diversity and Citizenship Education,3,"DIV,I&S",
Bothell,B EDUC 476,New Literacies for Digital Learning,5,,
Bothell,B EDUC 480,Life and Learning in the Middle School,3,,
Bothell,B EDUC 491,Special Topics in Education,,,
Bothell,B EDUC 493,Environmental Education,3,NW,
Bothell,B EDUC 501,Inquiry in Education,,,
Bothell,B EDUC 502,Teachers' Self-Understanding,,,
Bothell,B EDUC 503,History and Politics of Teaching,3,,
Bothell,B EDUC 504,Theories of Organizational Change and School Reform,,,
Bothell,B EDUC 507,Reviewing the Literature,3,,
Bothell,B EDUC 508,Early Literacy Development and Instruction,3,,
Bothell,B EDUC 510,Literacy Instruction for Diverse Learners,5,,
Bothell,B EDUC 511,Reading Practicum: Responsive Small Group Instruction,5,,
Bothell,B EDUC 512,Theoretical Foundations for Multicultural Classrooms,3,,
Bothell,B EDUC 515,Perspectives on Curriculum Integration,3,,
Bothell,B EDUC 516,Teaching Diverse Students,3,,
Bothell,B EDUC 517,Working With Struggling Readers Grades 3-8,3,,
Bothell,B EDUC 518,Observing and Describing Children and Their Work,3,,
Bothell,B EDUC 519,Classroom Discourse,3,,
Bothell,B EDUC 520,Current Issues: Multicultural Education,,,
Bothell,B EDUC 521,Using Multicultural Literature in the Classroom,3,,
Bothell,B EDUC 522,Education and the American Dream,3,,
Bothell,B EDUC 523,Improving Human Relations in Schools,3,,
Bothell,B EDUC 525,"Evaluating Curricula, Programs, and Institutions",3,,
Bothell,B EDUC 527,Educational Theorists and Reformers,3,,
Bothell,B EDUC 530,Current Issues: Integrated Curriculum,,,
Bothell,B EDUC 531,Current Issues in Teaching,,,
Bothell,B EDUC 532,Discourse in the Mathematics and Science Classroom,3,,
Bothell,B EDUC 533,Computers in the Classroom: Issues and Uses,3,,
Bothell,B EDUC 534,Current Issues in Literacy Research,3,,
Bothell,B EDUC 535,Writing Across the Curriculum,3,,
Bothell,B EDUC 536,"Teacher Leadership: Renewing, Revitalizing, Reframing",3,,
Bothell,B EDUC 537,Assessment,3,,
Bothell,B EDUC 538,Adolescent Literacy,3,,
Bothell,B EDUC 539,Literacy Coaching,3,,
Bothell,B EDUC 540,Principles of Inclusion: Students and Families,5,,
Bothell,B EDUC 541,"Second Language Acquisition, Bilingual Education, and the Structure of English",5,,
Bothell,B EDUC 542,"Curriculum, Instruction, and Assessment in English for Speakers of Other Languages",5,,B EDUC 541
Bothell,B EDUC 543,Practicum for Teaching English Speakers of Other Languages,3,,
Bothell,B EDUC 544,"Leadership, Advocacy, and Program Assessment in ESOL",5,,
Bothell,B EDUC 547,Transformative Curriculum Leadership,5,,
Bothell,B EDUC 552,"Curriculum, Instruction, and Assessment in Middle and Secondary Science I",5,,"B EDUC 556,B EDUC 557"
Bothell,B EDUC 553,"Curriculum, Instruction, and Assessment in Secondary English, Social Studies, and History",5,,
Bothell,B EDUC 554,"Curriculum, Instruction, and Assessment in Middle Grades and Secondary Science",5,,
Bothell,B EDUC 555,"Building Partnerships: Home, School, and Community",5,,
Bothell,B EDUC 556,Adolescent Development,5,,
Bothell,B EDUC 557,Curriculum Studies,5,,
Bothell,B EDUC 558,"Curriculum, Instruction, and Assessment in Secondary Social Studies and History",5,,
Bothell,B EDUC 559,"Curriculum, Instruction, and Assessment in Secondary and Middle Level Mathematics I",5,,"B EDUC 556,B EDUC 557"
Bothell,B EDUC 560,"Curriculum, Instruction, and Assessment in Secondary Science and Mathematics II",5,,
Bothell,B EDUC 561,Education and Gender,3,,
Bothell,B EDUC 562,"Multicultural Education: Race, Class, and Gender",3,,
Bothell,B EDUC 563,"Curriculum, Instruction, and Assessment in Secondary English Methods I and II",,,
Bothell,B EDUC 564,Field Experience in Secondary Schools,,,
Bothell,B EDUC 565,Student Teaching,10,,
Bothell,B EDUC 566,Education and Technology,3,,
Bothell,B EDUC 567,Telling Our Stories as Teachers: Digital Storytelling as Reflective Practice,5,,
Bothell,B EDUC 569,"Educational Policy, School Politics and Teacher Power",3,,
Bothell,B EDUC 570,Problems in Qualitative Research Methodology,,,
Bothell,B EDUC 573,Fostering Early Numeracy,3,,
Bothell,B EDUC 577,Curriculum Development,5,,
Bothell,B EDUC 579,The Power and Beauty of Mathematics,3,,
Bothell,B EDUC 587,"Science, School Knowledge, and Contemporary Social Issues",3,,
Bothell,B EDUC 591,Special Topics in Education,,,
Bothell,B EDUC 592,Independent Study,,,
Bothell,B EDUC 594,Completion Dossier,1,,
Bothell,B EDUC 595,Professional Portfolio,,,
Bothell,B EDUC 596,Professional Paper,,,
Bothell,B EDUC 597,Practitioner Focused Research,3,,B EDUC 501
Bothell,B EDUC 598,Project Implementation,,,
Bothell,B EDUC 599,Culminating Project,,,
Bothell,B EE 215,Fundamentals of Electrical Engineering,5,,"BPHYS 122,MATH 126,PHYS 122,STMATH 126"
Bothell,B EE 233,Circuit Theory,5,,B EE 215
Bothell,B EE 235,Continuous Time Linear Systems,5,,"AMATH 351,B EE 233,B PHYS 122,CSE 142,CSS 161,MATH 136,MATH 307,PHYS 122,STMATH 307"
Bothell,B EE 271,Digital Circuits and Systems,5,,"CSE 142,CSS 161"
Bothell,B EE 331,Devices and Circuits I,5,,"B EE 233,E E 233"
Bothell,B EE 332,Devices and Circuits II,5,,B EE 331
Bothell,B EE 341,Discrete Time Linear Systems,5,,"B EE 235,E E 235"
Bothell,B EE 361,Applied Electrodynamics,5,,"B EE 233,B PHYS 123,STMATH 324"
Bothell,B EE 371,The Business of Technology,5,,
Bothell,B EE 381,Introduction to Electric Power Generation,5,"NW,QSR","B PHYS 122,BST 381,MATH 126,STMATH 126"
Bothell,B EE 417,Digital Communication,5,,"B EE 341,STMATH 390"
Bothell,B EE 425,Microprocessor System Design,5,,"B EE 271,B EE 331"
Bothell,B EE 433,Electronic Circuit Design,5,,B EE 332
Bothell,B EE 436,Biomedical Instrumentation I,5,,"B EE 235,B EE 332"
Bothell,B EE 437,Biomedical Instrumentation II,5,,B EE 332
Bothell,B EE 440,Electronic Test and Measurement,5,,B EE 271
Bothell,B EE 442,Digital Signal Processing,5,,B EE 341
Bothell,B EE 445,Fundamentals of Digital Image Processing,5,,BEE 233
Bothell,B EE 447,Introduction to Control Systems,5,,B EE 235
Bothell,B EE 450,Introduction to Power Electronics,5,,BEE 331
Bothell,B EE 454,Introduction to RF and Microwave Engineering,5,,"B EE 331,B EE 332,B EE 361"
Bothell,B EE 455,Introduction to Electrical Machines and Drives,5,,BEE 233
Bothell,B EE 477,Power System Fundamentals,5,,B EE 233
Bothell,B EE 478,Power System Analysis,5,,B EE 477
Bothell,B EE 482,Semiconductor Devices,5,,B EE 332
Bothell,B EE 484,Sensors and Sensor Systems,5,,"B EE 235,B EE 331"
Bothell,B EE 486,Fundamentals of Integrated Circuit Technology,5,,B EE 332
Bothell,B EE 490,Special Topics in Electrical Engineering,,,
Bothell,B EE 495,Capstone Project in Electrical Engineering I,2,,"B EE 332,B EE 371,B EE 425"
Bothell,B EE 496,Capstone Project in Electrical Engineering II,3,,B EE 495
Bothell,B EE 498,Independent Study in Electrical Engineering,,,
Bothell,B EE 499,Undergraduate Research in Electrical Engineering,,,
Bothell,B EE 503,Circuit Analysis,4,,
